Pregunta|Intencion|Intencion_cat_label|Intencion_encoded
no me llega el sms para crear mi cuenta en móviles banking|Cat_1|1|1
se puede retirar un monto elevado en cualquier sucursal de santander|Cat_128|128|27
donde dejo mi curriculum|Cat_102|102|5
necesito una nueva tarjeta de coordenadas.|Cat_5|5|297
que significa renovacion de capital|Cat_180|180|85
costo salir fondo|Cat_96|96|348
un bono me desapareció de la cuenta.|Cat_187|187|92
en el campo ingresos netos del formulario de prestamo hipotecario puedo sumar el impuesto a las ganancias?|Cat_249|249|160
queria dar de baja mis productos del banco.|Cat_41|41|288
el plazo fijo en dolares no conviene no?|Cat_178|178|82
quiero cambiar el medio de pago del seguro|Cat_269|269|182
yo tengo fondos depositados en un fondo comun de inversion y no puedo ver la tenencia en este momento|Cat_172|172|76
donde consulto la fecha de cierre de la tarjeta?|Cat_341|341|262
andreani la esta enviando a mi antiguo domicilio|Cat_103|103|6
quisiera q me envíen mi tarjeta para q la retire en la sucursal de villa allende. córdoba|Cat_318|318|236
planes de financiacion|Cat_120|120|21
enviar poliza direccion correar electronico equivocado|Cat_267|267|180
numero telefono consultar|Cat_147|147|48
se puede hacer un rescate parcial en dolares de un fci?|Cat_175|175|79
numero comunicarme|Cat_147|147|48
necesito averiguar x el prestamo pre acordado|Cat_225|225|134
a donde llamo para pedir que me extiendan la fecha de pago de la amex?|Cat_348|348|269
tengo que transferir euros a madrid  cuanto me sale?|Cat_31|31|227
ver recibos pagos en la app|Cat_98|98|350
cuanto dispongo para compra kn mi debito|Cat_303|303|220
puedo elegir la fecha de vencimiento de mi cuota de prestamo hipotecario?|Cat_259|259|171
sufrí varios cortes de luz y perdí alimentos  me cubre algo el seguro del banco?|Cat_265|265|178
recibir nueva tarjeta visa|Cat_293|293|208
quisieron entrar a mi casa y rompieron el vidrio  como tengo que hacer ? que tengo que llevar al banco?|Cat_265|265|178
por reclamo de un doble pago de tarjeta  la cual ya estaba debitado|Cat_350|350|272
se me rompió la tele  se me cayó  está asegurada pero quiero saber cuales son los pasos a seguir|Cat_265|265|178
me enviaron tarjetas de ccredito a visa stander que nunca pedi|Cat_310|310|228
en que horario se puede depositar cheque?|Cat_110|110|14
como calculo los ingresos como monotribustista para obtener un préstamo hipotecario?|Cat_249|249|160
cual es el costo mensual de la tarjeta de debito|Cat_96|96|348
qué estudio jurídico está gestionando mi deuda con el banco?|Cat_190|190|96
pago de haberes|Cat_69|69|318
como sacar efectivo con la tarjeta de credito|Cat_298|298|213
caduco sesion por inactividad|Cat_0|0|0
quiero contratar un seguro de accidentes personales|Cat_261|261|174
no me llego una transferencia que me hicieron del exterior y la necesito cuanto antes|Cat_33|33|249
querer conocer estado trámite|Cat_118|118|19
quiero dar de baja un servicio por debito y no se como hacer|Cat_292|292|207
te queria consultar con respecto a la clave de letras que se usa en el cajero para extracciones  se puede cambiar? porque no logro recordarla|Cat_288|288|202
quiero saber si soy clienta del banco|Cat_61|61|310
que hago en caso de que la tarjeta tenga los números borrosos ?|Cat_316|316|234
pagar edesur tarjeta credito|Cat_132|132|32
olvidar clave online banking bloquear|Cat_1|1|1
queria consultar sobre un credito uva|Cat_225|225|134
tengo un prestamo prendario. donde puedo pagar la primera cuota?|Cat_239|239|149
necesito un telefono|Cat_147|147|48
hacer stropdebit|Cat_353|353|275
no entiendo los cargos de mi tarjeta america|Cat_115|115|17
numero telefono atencion cliente|Cat_147|147|48
quiero pedir tarjeta debitar|Cat_39|39|285
debo contar con una cuenta para solicitar el prestamo prendario?|Cat_248|248|159
se pueden sumar el sueldo del conyuge en la hipoteca|Cat_254|254|166
cuales son los requisitos para pedir un préstamo|Cat_248|248|159
sabados y domingos se puede pedir el préstamo?|Cat_223|223|132
quiero dar de baja un titular|Cat_38|38|284
tengo que regularizar mi cuenta para utilizar mi tarjeta como hago?|Cat_192|192|98
debitos tarjeta credito|Cat_112|112|15
soy estudiante sin ingresos. puedo tener tarjeta de ccredito?|Cat_359|359|281
el dia martes mi empleador realizo la transferencia de mi sueldo. pero aun no la he recibido.|Cat_62|62|311
compra de auto usado|Cat_228|228|137
como completo la referencia en el formulario 6234|Cat_32|32|238
ccreditos disponibles|Cat_225|225|134
hora llamar|Cat_147|147|48
si saco pasajes de micro con mi tarjeta santander rio universidades mediante internet aplica el descuento igual?|Cat_311|311|229
la tarjeta esta paga igual verdad?|Cat_279|279|193
cambiar nombre en las tarjetas|Cat_315|315|233
me gustaría sacar un prestamo personal me podría informar... no soy cliente del banco|Cat_248|248|159
reimpresión de tarjeta de debito y visa de credito|Cat_316|316|234
necesito saver si mi cuenta aún sigue vigente|Cat_61|61|310
recibí mi tarjeta de débito. pero no recibí la clave|Cat_288|288|202
necesito una oficina de una sucursal del banco|Cat_70|70|320
necesito saber la cotizacion del real y en que sucursal poder comprarlos|Cat_166|166|69
quienes son los ganadores|Cat_144|144|45
quisiera pedir una tarjeta nueva|Cat_316|316|234
desvincular superclub|Cat_299|299|214
estoy alquilando hoy por un valor de pesos puedo pagar eso de cuota de hipotecario?|Cat_251|251|163
me das un ejemplo de super prestamo por cuanto se pagaria por mes|Cat_251|251|163
necesito habilitar mi tarjeta de debito para salir del pais|Cat_304|304|221
la retencion del impuesto a las ganancias hechas en el recibo de sueldo se toma en cuenta para el calculo del prestamo hipotecario?|Cat_249|249|160
donde puedo certificar mi firma|Cat_94|94|346
para llenar el credito procrear|Cat_200|200|108
tarjeta cancelar suscripción mails|Cat_125|125|24
estoy muy sorprendido con la poliza recibida  ya que no pedi dicho servicio.|Cat_264|264|177
quiero ver si puedo vender papeles de central puerto|Cat_154|154|56
cobro comision servicio cuenta|Cat_97|97|349
si tengo otro credito me conviene cancelarlo antes?|Cat_218|218|126
un premio que no está  lo vuelven a poner?|Cat_332|332|252
hast que monto prestan?|Cat_236|236|146
como participo del sorteo soy cliente|Cat_143|143|44
quiero actualizar mi póliza  cómo hago?|Cat_268|268|181
donde veo las rentas y cupones por los bonos que tengo ?|Cat_161|161|64
califico a un prestamo|Cat_248|248|159
telefono american express|Cat_147|147|48
puedo cancelar parcialmente ? como sé luego de hacerlo cual sera mi cuota del préstamo ?|Cat_246|246|157
puedo asegurar mi cámara de video?|Cat_261|261|174
cuanto tardan en acreditarse los fondos resultantes de una venta de acciones?|Cat_154|154|56
podrias indicarme como dar de baja las tarjetas que tengo del banco|Cat_338|338|258
maximo retirar cajero santander|Cat_303|303|220
pedí una baja del seguro de accidentes personales y todavía no llega  q hago?|Cat_263|263|176
por que no tengo iban?|Cat_34|34|260
necesito extraer dinero en un cajero automatico en el exterior y quiero saber como hacerlo desde mi caja de ahorro en dolares|Cat_298|298|213
por que estoy pagando ike?|Cat_262|262|175
cual es la clave de mi tarjeta de debito|Cat_288|288|202
me pide clave de seguridad y yo nunca opere con ustedes. que hago?|Cat_3|3|215
que cubre el seguro de vivienda?|Cat_265|265|178
no llegar tarjeta cliente nuevo|Cat_293|293|208
como denuncio un robo en el cajero|Cat_265|265|178
quiero consultar por un prestamo personal.|Cat_225|225|134
la primer cuota del prestamo personal la tengo que pagar si o si al mes siguiente?|Cat_259|259|171
dejar pagar impuesto opcion ingresar código pagar|Cat_129|129|28
quiero postularme|Cat_102|102|5
como puedo ver el.detalle de.todas mis cuotas prestamo prendario|Cat_239|239|149
tengo que agregar a un destinatario nuevo para transferirle|Cat_76|76|326
como hago para canjear kilómetros advantage?|Cat_273|273|187
quiero requisito abrir|Cat_39|39|285
programar transferencias|Cat_81|81|332
hice una transferencia pero no se encuentra acreditada en el exterior|Cat_35|35|271
respecto al límite de la tarjeta donde lo miro?|Cat_303|303|220
telefono contactar|Cat_147|147|48
como sé que adherí con éxito el debito automatico de un servicio a mi tarjeta?|Cat_93|93|345
pagué un servicio sin querer como hago para cancelarlo?|Cat_129|129|28
como deposito dinero en efectivo a una cuenta de un tercero?|Cat_110|110|14
como entrar a mi cuenta|Cat_3|3|215
necesitar generar vep|Cat_132|132|32
como hago para ingresar por primera vez en obp|Cat_3|3|215
queria consultar si es posible que me bonifiquen la comisión por servicio de cuenta|Cat_73|73|323
quiero saber donde está el simulador|Cat_251|251|163
quiero depositar en mi caja de ahorro santander rio y dicen que esta bloqueada  como debo hacer?|Cat_51|51|299
presenté todos los papeles para el seguro de desempleo  me acerque a la sucursal y no tuve más novedades|Cat_270|270|184
como realizo un debito automatico|Cat_87|87|338
quiero sacar la visa del banco|Cat_337|337|257
que trámite debo hacer para denunciar la pérdida de la credencial universitaria|Cat_294|294|209
como suscribirme a e-resumen|Cat_138|138|38
tengo la tarjeta visa débito pero no me llegue el pin|Cat_288|288|202
la tarjeta visa ya me venció como se si está paga?|Cat_279|279|193
cuales son las condiciones del super miercoles mujer?|Cat_311|311|229
adheri metrogas a debito automatico. hace dos meses. no me debita el pago|Cat_129|129|28
super fomdos|Cat_173|173|77
como puedo ser un inversionista|Cat_178|178|82
como tengo que hacer para renunciar al seguro contra robo de mi tarjeta de ccredito|Cat_262|262|175
en donde se modifican las preguntas de seguridad?|Cat_103|103|6
me figura un saldo positivo en la cuenta corriente y no entiendo producto de que|Cat_115|115|17
anular transferencias|Cat_82|82|333
me cobran mucho si pido que me envíen una chequera?|Cat_44|44|291
tenés una urgencia en tu hogar?|Cat_265|265|178
cómo sé que una vivienda cumple con las condiciones de habitabilidad?|Cat_203|203|111
puedo acercarme a alguna sucursal para evacuar dudas sobre el proceso de solicitud del credito?|Cat_212|212|120
por que no puedo pagar arba inmobiliario a traves de pago mis cuentas|Cat_130|130|30
solo puedo sumar ingresos para el hipotecario con mi pareja o puede ser hermana o padre?|Cat_254|254|166
como saco dinero del cajero automatico si no tengo mi tarjeta de debito|Cat_295|295|210
aseguran celulares usados ?|Cat_261|261|174
las acciones pagan impuesto ley|Cat_177|177|81
quiero que me desbloqueen la cuenta comitente|Cat_170|170|74
vencer factura cargala pagarla|Cat_129|129|28
me explicás de que se trata aadvantage?|Cat_277|277|191
queria consultar la tasa para un credito personal. osea cual seria el cft?|Cat_224|224|133
limite tarjeta de credito|Cat_303|303|220
ir pagando en cuotas la deuda con la tarjeta|Cat_308|308|225
cuanto es el monto que se puede pedir al prestamo|Cat_236|236|146
queria consultar acerca de un pago que no desaparece del listado una vez que ya es abonado|Cat_129|129|28
recibi tarjeta domicilio|Cat_293|293|208
y cual es la tasa de interes del credito prendario?|Cat_258|258|170
cuál es el cargo por gestion cheques|Cat_49|49|296
pagar monotributo online banking|Cat_129|129|28
debitar vencia|Cat_129|129|28
en el sistema del banco no me aparece la opcion debito automatico en un servicio.|Cat_130|130|30
necesito pedir una reimpresión.que tramite tengo que realizar?|Cat_316|316|234
quiero consultar mi tenencia|Cat_67|67|316
cuál es el porcentaje de financiación para la compra de terreno?|Cat_245|245|156
póliza figurar domicilio viejo|Cat_267|267|180
desconocimiento movimiento realizar|Cat_112|112|15
se me inundó mi casa  tengo cobertura?|Cat_265|265|178
puedo cargar la tarjeta sube acá?|Cat_132|132|32
me descontaron el total de la tarjeta american expres y queria pagar el minimo|Cat_350|350|272
necesito los telefonos para denunciar robo de tardejeta de credito y tarjetas de debito|Cat_294|294|209
quiero suscribir un bonar|Cat_157|157|59
por que me desde que estoy con santander rí¬≠¬≠¬≠¬≠¬ço/advantage me viene de más en el resumen|Cat_276|276|190
necesito ver resumen tarjeta de credito.|Cat_138|138|38
necesito enviar un email a santander rio|Cat_29|29|204
como puedo ver lo que me falta pagar en cuotas|Cat_101|101|4
hay algo mas rentable q un plazo fijo|Cat_178|178|82
tengo un consumo que aun no se confirma|Cat_343|343|264
en donde puedo hacer el cambio de lugares de las entradas que canjeé con los puntos superclub?|Cat_324|324|243
ingresar clave quedo realizar consultar cartelito terminar|Cat_1|1|1
quiero reclamar mis resúmenes de visa q no me llegan|Cat_138|138|38
necesitar total cancelar tarjeta credito|Cat_342|342|263
me piden el iban para hacerme un pago desde el exterior|Cat_34|34|260
como ir a licitaciones?|Cat_157|157|59
generar clave santander ningun|Cat_1|1|1
donde puedo ver la cotización diaria de los fondos de inversión|Cat_174|174|78
me descontaron una compra que no me corresponde|Cat_112|112|15
hacer recargar virtual app|Cat_132|132|32
santa teresita no entra en el descuento?|Cat_311|311|229
quiero dar de baja unos seguros que tenía|Cat_262|262|175
requisitos para solicitud de prestamos|Cat_248|248|159
mi chequera está en una sucursal pero quiero retirarla en otra|Cat_46|46|293
cobro servicio cuenta porque|Cat_97|97|349
que tasas de interés y plazo tienen los préstamos?|Cat_225|225|134
no puedo avilitar la tarjetar|Cat_301|301|218
me olvide la clave alfabetica|Cat_288|288|202
consulta sobre locales adheridos a comodines superclub|Cat_322|322|241
me figura un gasto en mi tarjeta visa de un seguro de automotor que di de baja|Cat_263|263|176
donde veo el resumen de tenencia?|Cat_67|67|316
cuales con los limites de compra con las tarjetas platinun|Cat_303|303|220
deseo acceder a un préstamo de dinero|Cat_225|225|134
me olvidé mi clave para extraccion en cajeros|Cat_288|288|202
qué es el sistema de amortización francés?|Cat_252|252|164
como veo el reumen de mi caja de ahorro en pesos|Cat_138|138|38
cancelar debito automatico tarjeta|Cat_345|345|266
quiero la tarjeta visa|Cat_337|337|257
cuál es límite de préstamo disponible?|Cat_236|236|146
no puedo mover el cursor de la solicitud|Cat_4|4|286
mi cuenta esta adherida a los puntos super club?|Cat_300|300|217
indique que habia realizado el pago de la tarjeta amex y me encontre con el pago realizados dos veces|Cat_350|350|272
las adicionales también pueden sacar en preventa?|Cat_311|311|229
no poder seguir mantener cuenta desear cerrarla cuenta|Cat_41|41|288
como hacer para que me notifiquen via email o sms cuando me depositan en mi cuenta|Cat_125|125|24
necesito consultar por el prestamo personal uvas|Cat_225|225|134
quisiera solicitar la baja de santander sorpresa por favor. no me interesa?|Cat_320|320|239
saber pagar total tarjeta|Cat_342|342|263
el fondo paga impuesto ley|Cat_177|177|81
que costo tiene el sellado hipoteca en provincia de buenos aires?|Cat_210|210|118
como cambio mi vaucher de sube|Cat_333|333|253
queria saber si podia pagar la tarjeta antes de que se me debite automaticvamente|Cat_342|342|263
quisiera saber si me puedo abrir una cuenta|Cat_39|39|285
generacion clave banelco|Cat_288|288|202
cobran interés pagar factura tarjeta|Cat_349|349|270
puedo solicitar un prestamo hipotecario si soy dueño de una vivienda?|Cat_228|228|137
transpaso de acciones entre cuentas|Cat_150|150|52
aumentar el monto para pagar con tarjeta de débito en supermercados o tiendas . cómo se hace?|Cat_302|302|219
que costo tiene la tarjeta|Cat_340|340|261
como cambio la sucursal en donde retirar la tarjeta que pedí?|Cat_318|318|236
comision tarjeta|Cat_96|96|348
si tengo alguna deuda|Cat_99|99|351
cual es el comprobante de pago si adherí los servicios al debito?|Cat_98|98|350
antes de ayer bloquee mi tarjeta de debito ya que la extravié quisiera saber que tengo que hacer para la reposición|Cat_316|316|234
querer bajo todos producto|Cat_41|41|288
como habilito assist carde|Cat_282|282|196
me explicás en que consisten las condiciones de habitabilidad?|Cat_203|203|111
quisiera saber como resolver una deuda en una tarjeta|Cat_192|192|98
necesito saber si estan las tarjetas de credito tipo gift card para regalar|Cat_313|313|231
me adheri al debito automatico de servicios pero no veo detalle de movimiento en mi tarjeta|Cat_129|129|28
llamo para hacer una suscripción de mix|Cat_176|176|80
como hago para poner el stop debit en la luz?|Cat_145|145|46
pin banelco|Cat_288|288|202
quiero tarjeta santander|Cat_337|337|257
quiero el prestamo de santander rio ya soy cliente|Cat_223|223|132
cómo funcionan las cargas sociales para la señora que me ayuda en casa?|Cat_60|60|309
yo no solicte ninguna poliza|Cat_264|264|177
me olvide mi usuario|Cat_1|1|1
cuál era la fecha del llamado a licitación de bonos?|Cat_156|156|58
por que no puedo sacar plata del fondo común?|Cat_172|172|76
queria numero telefonico cobranzas|Cat_194|194|100
comision por extraccion en el exterior|Cat_96|96|348
cobro duplicado de tarjeta|Cat_350|350|272
dar de baja el programa american airlines|Cat_299|299|214
cual es el cuit del banco|Cat_105|105|8
cuanto es el mantenimiento de cuenta para universitarios?|Cat_359|359|281
necesitoia consultarte cambiar monto extraccion cajero|Cat_287|287|201
cuanto es la comisión de mantenimiento?|Cat_96|96|348
mantenimiento caja de ahorro|Cat_96|96|348
no poder abonar tarjeta mastercard visa|Cat_342|342|263
como hago una transferencia por home banking?|Cat_84|84|335
por que no me dejan dar de baja la cta?|Cat_41|41|288
quiero anular pago automatico tarjeta credito|Cat_345|345|266
super prestamo para clientes|Cat_225|225|134
que valor de la casa toman en cuenta para aplicar préstamo?|Cat_217|217|125
cómo saco la nova|Cat_306|306|223
como hago para ser iu|Cat_140|140|41
quiero construir en un lote  aun no esta escriturado. puedo solicitar un prestamo hipotecario para construccion?|Cat_228|228|137
pasos para blanquear tarjeta|Cat_288|288|202
como hago para quitar un debito automatico?|Cat_89|89|340
como hago para que alguien me brinde asistencia?|Cat_29|29|204
tengo asinacion x hijo dan prestamo soy clienta del banco|Cat_248|248|159
no tengo cuenta en el banco como pago la tarjeta|Cat_342|342|263
nesecito un prestamo|Cat_223|223|132
como hacer pagar servicio|Cat_132|132|32
quiero calcular el prestamo hipotecario|Cat_251|251|163
cual es el plazo máximo de pago de prestamos hipotecarios?|Cat_242|242|153
denegar compra tarjeta credito|Cat_286|286|200
cambiar mi cuenta a platinum|Cat_40|40|287
puedo comprar dolares del prestamo hipotecario para pagar la vivienda?|Cat_226|226|135
queria consultar para dar de baja la cuenta|Cat_41|41|288
olvidar clave blanquearla|Cat_1|1|1
como puedo ver el saldo de mi tarjeta recargable|Cat_313|313|231
quiero información donde puedo comprar autos|Cat_225|225|134
quiero saber el numero de telefono asi me comunicó con alguien|Cat_147|147|48
no puedo hacer la clave home bankin ya intente de barias formas y no puedo|Cat_1|1|1
no puedo rescatar mis fondos. me dice que no tengo dinero disponible y son mas de $20.000|Cat_172|172|76
pago atrasado tarjeta|Cat_349|349|270
quiero reservar una sala de una sucursal del banco|Cat_70|70|320
cambiar usuario salir error|Cat_1|1|1
donde puedo ver el formulario 6-234|Cat_32|32|238
nesecito saber hasta cuanto puedo acceder con ingreso|Cat_251|251|163
pagar tarjeta mastercard desde autoservicio del banco|Cat_342|342|263
dato incorrecto coincidir aportar|Cat_267|267|180
no me llega el resumen.|Cat_138|138|38
me rechazaron un cheque para deposito|Cat_47|47|294
quiero poner lo que tengo en mi cuenta en el mix vi|Cat_176|176|80
quiero hacer un upgrade de cuenta|Cat_86|86|337
que billetes recibe el cajero|Cat_110|110|14
como puedo solicitar un creditos|Cat_223|223|132
supercuenta universidades|Cat_359|359|281
cuantas veces puedo solicitar la tasacion?|Cat_216|216|124
van a habilitar una app para pedir un préstamo hipotecario?|Cat_223|223|132
no tengo cuenta en el banco.puedo pedir prestamo?|Cat_248|248|159
como hago para que mis tarjetas sumen millas?|Cat_274|274|188
tienen un simulador de préstamos?|Cat_251|251|163
me bloquearon la cuenta título y preciso desbloquearla cuanto antes|Cat_170|170|74
puedo vender el vehículo si todavía no pagué todo el préstamo?|Cat_260|260|173
cumplo con los requisitos pero estoy en veraz. eso me impide sacar el préstamo?|Cat_244|244|155
compra de terreno|Cat_228|228|137
quiero el telefono del correo para coordinar entrega del canje|Cat_326|326|245
no me llega el sms para crear mi cuenta en móviles banking|Cat_1|1|1
todos los restaurantes hacen el descuento del en la costa|Cat_311|311|229
cómo hago para pagar el sobregiro?|Cat_56|56|304
cómo funciona la tarjeta de coordenadas para hacer transferencias?|Cat_5|5|297
estoy llamando y dice que el sistema de consultas no está disponible.|Cat_29|29|204
tengo que llamar por telefono para poder hacer uso del open credit|Cat_198|198|104
el televisor se rompió y llamo para hacer la denuncia|Cat_265|265|178
necesito que me anulen el pago de un servicio automatico|Cat_292|292|207
cómo hago para hacer una solicitud de chequeras?|Cat_44|44|291
necesito pagar un tramite site de la dnrpa|Cat_132|132|32
me dieron mi tarjeta debito para cobrar mi sueldo. de la cual ayer fui al cajero. la puse. y me pedía una clave.|Cat_288|288|202
saber.si puedo sacar un creditio|Cat_248|248|159
quisiera saber que saldo tengo disponible.|Cat_303|303|220
nesecito que me levanten el bloqueo que hay sobre mis tarjetas|Cat_286|286|200
donde esta mi tarjeta que hace más de un mes que solicité la reposición|Cat_293|293|208
posnet para negocio|Cat_71|71|321
seguro ike|Cat_261|261|174
necesito tomar prestamo|Cat_223|223|132
super prestamo santander rio|Cat_225|225|134
si se efectuo el pago de mi credito|Cat_239|239|149
tengo adherido el celular al debito en tarjeta pero hace meses que no se cobra.|Cat_129|129|28
querer adherir epec debitar automatico|Cat_132|132|32
puedo precancelar?|Cat_246|246|157
cuál es la ruta gastronómica en carilo|Cat_311|311|229
queria saber por que me inhabilitaron mi tarjeta de debito|Cat_286|286|200
no puedo realizar un cambio de domicilio|Cat_103|103|6
bajo cuenta este medio no efectiva|Cat_41|41|288
quiero que me avisen por mail cada vez que efectuo consumos con la tarjeta|Cat_125|125|24
es necesario un examen medico para la aprobacion de un prestamo hipotecario?|Cat_208|208|116
que nesecito hacer blanqueo de pin de la tarjeta|Cat_288|288|202
como aumentar la extración desde la aplicacion|Cat_287|287|201
quisiera dar de baja mi paquete infinity gold|Cat_41|41|288
por que medio puedo pedir el préstamo personal|Cat_223|223|132
puedo solicitar por la app un préstamo hipotecario?|Cat_223|223|132
que es un fci?|Cat_173|173|77
queria dar de baja un seguro que contraté|Cat_262|262|175
llamar deuda tarjeta|Cat_194|194|100
necesito ayuda|Cat_22|22|128
contraseña cajero automatico|Cat_288|288|202
como puedo hacer para obtener la tarjeta women?|Cat_357|357|279
queria averiguar utilizar tarjeta debitar europa|Cat_289|289|203
se me acreditaron menos puntos de los que tenían que sumarme|Cat_330|330|250
número departamento judicial banco|Cat_190|190|96
donde me fijo el límite de ccredito que tengo?|Cat_223|223|132
me llego mens q tengo q renovar mis claves y no se como hacerlo.|Cat_1|1|1
necesito hacerme una transferencia a mi cuenta en dolares desde el exterior|Cat_32|32|238
quiero sacar un hipotecario a aaños|Cat_223|223|132
me decís las marcas con descuento con la visa santander?|Cat_311|311|229
necesito ver el resumen de tarjeta|Cat_138|138|38
reemplazo de tarjetas|Cat_316|316|234
como hago para pedir una nueva tarjeta de débito?|Cat_316|316|234
como ingresar a mi cuenta online?|Cat_3|3|215
necesito modificar el limite diario de mi tarjeta de debito|Cat_287|287|201
como hago para ver la poliza?|Cat_266|266|179
recibí el producto con fallas  como hago para que me lo cambien o me devuelvan los puntos?|Cat_329|329|248
como doy de baja mi cuenta caja de ahorro universitaria en santander rio??|Cat_41|41|288
cómo puedo hacer para sacar un préstamo?|Cat_223|223|132
plazo fijo informacion vencimiento|Cat_188|188|93
necesito saber como dar de baja el plan de proteccion de pagos rel. dep de las tarjetas de credito.|Cat_262|262|175
hice un cange de puntos me llega a mi domicilio?|Cat_326|326|245
como son los prestamos?|Cat_225|225|134
quiero adherir a debito automatico de mi visa el pago de mi prepaga como tengo que hacer?|Cat_132|132|32
una consulta sobre debito desde mi cuenta|Cat_115|115|17
como es el tema de la supervivencia en las jubilaciones?|Cat_88|88|339
que es numero de sucursal de la cuenta|Cat_100|100|3
cobrar bajo|Cat_41|41|288
quisiera abrir una caja de ahorros via online|Cat_39|39|285
necesito saber los intereses ganados para la ddjj|Cat_137|137|37
queria saber si calificaba para un prestamo personal|Cat_248|248|159
como ago para hacer una transferencia?|Cat_84|84|335
no puedo ingresar a los fondos comunes de inversion|Cat_172|172|76
necesito pagar mi tarjeta y no tengo la factura como hago??|Cat_342|342|263
donde esta el simulador de prestamos|Cat_251|251|163
quisiera saber si la cuenta sigue bloqueada|Cat_51|51|299
como transfiero mis titulos|Cat_150|150|52
como hago para saber si tengo saldo utilizable en mi tarjeta|Cat_303|303|220
necesito información sobre la licitación de bonos|Cat_157|157|59
pasar favor|Cat_147|147|48
me habían puesto un seguro pero no lo quiero|Cat_262|262|175
solicitar visa prepaga cuanto tardar|Cat_293|293|208
necesito pagar una deuda.|Cat_192|192|98
estoy interesada en la caja de ahorro para estudiantes. cuales son los requisitos y que documentación tengo que presentar|Cat_359|359|281
quiero hacer un plan de pago|Cat_120|120|21
recibí mi tarjeta de débito. pero no recibí la clave|Cat_288|288|202
como puedo hacer para ver el resumen de la tarjeta de ccredito.|Cat_138|138|38
no poder comprar moneda extranjero tarjeta debitar|Cat_289|289|203
donde puedo recurrir si no tengo clave banelco ni de santander?|Cat_288|288|202
queria ver de solicitar un prestamo pero no encuentro donde se hace|Cat_223|223|132
limite diario pagar debito|Cat_303|303|220
tenia santander volver|Cat_39|39|285
quiero retirar la tarjeta en la sucursal de barracas|Cat_318|318|236
como quitar debito automatico|Cat_89|89|340
como hago para que me eleven el tope de consumo de mi visa gold|Cat_302|302|219
qué pasa si me atraso con la cuota del préstamo?|Cat_240|240|151
cambio de limite de descubierto|Cat_57|57|305
quiero saber como puedo invertir  cuales son las opciones  a que tasas  el plazo  todo acerca de las inversiones disponibles con santander!|Cat_178|178|82
necesito que me llamen para saber la deuda que tengo|Cat_194|194|100
quiero saber cuales son los pagos que hice con tarjeta de credito|Cat_279|279|193
en todas las marcas aplica el descuento o solo las que están adheridas a la promo??|Cat_311|311|229
como es tu funcionamiento|Cat_13|13|29
quisiera solicitar un prestamo personal|Cat_223|223|132
mi conyuge puede declarar sus ingresos en el credito prendario|Cat_254|254|166
como ingreso a pago mis cuentas|Cat_131|131|31
a partir de cuando puedo pre cancelar el prestamo?|Cat_246|246|157
me ofrecieron puntos superclub pero no me los sumaron|Cat_330|330|250
¿como puedo ver los movimientos de mi tarjeta de credito visa?|Cat_355|355|277
quisiera saber si cuando se vence la tarjeta de débito la nueva tarjeta se envía al domicilio del titular o hay que retirarla|Cat_316|316|234
queria consultar si puedo sacar un prestamo ??|Cat_248|248|159
